os,arch,extended,version,filename
darwin,amd64,noEx,0.104.3,hugo_0.104.3_darwin-universal.tar.gz
darwin,arm64,noEx,0.104.3,hugo_0.104.3_darwin-universal.tar.gz
dragonfly,amd64,noEx,0.104.3,hugo_0.104.3_dragonfly-amd64.tar.gz
freebsd,amd64,noEx,0.104.3,hugo_0.104.3_freebsd-amd64.tar.gz
linux,amd64,noEx,0.104.3,hugo_0.104.3_linux-amd64.tar.gz
linux,arm,noEx,0.104.3,hugo_0.104.3_linux-arm.tar.gz
linux,arm64,noEx,0.104.3,hugo_0.104.3_linux-arm64.tar.gz
netbsd,amd64,noEx,0.104.3,hugo_0.104.3_netbsd-amd64.tar.gz
openbsd,amd64,noEx,0.104.3,hugo_0.104.3_openbsd-amd64.tar.gz
darwin,amd64,hasEx,0.104.3,hugo_extended_0.104.3_darwin-universal.tar.gz
darwin,arm64,hasEx,0.104.3,hugo_extended_0.104.3_darwin-universal.tar.gz
linux,amd64,hasEx,0.104.3,hugo_extended_0.104.3_linux-amd64.tar.gz
linux,arm64,hasEx,0.104.3,hugo_extended_0.104.3_linux-arm64.tar.gz
darwin,amd64,noEx,0.104.2,hugo_0.104.2_darwin-universal.tar.gz
darwin,arm64,noEx,0.104.2,hugo_0.104.2_darwin-universal.tar.gz
dragonfly,amd64,noEx,0.104.2,hugo_0.104.2_dragonfly-amd64.tar.gz
freebsd,amd64,noEx,0.104.2,hugo_0.104.2_freebsd-amd64.tar.gz
linux,amd64,noEx,0.104.2,hugo_0.104.2_linux-amd64.tar.gz
linux,arm,noEx,0.104.2,hugo_0.104.2_linux-arm.tar.gz
linux,arm64,noEx,0.104.2,hugo_0.104.2_linux-arm64.tar.gz
netbsd,amd64,noEx,0.104.2,hugo_0.104.2_netbsd-amd64.tar.gz
openbsd,amd64,noEx,0.104.2,hugo_0.104.2_openbsd-amd64.tar.gz
darwin,amd64,hasEx,0.104.2,hugo_extended_0.104.2_darwin-universal.tar.gz
darwin,arm64,hasEx,0.104.2,hugo_extended_0.104.2_darwin-universal.tar.gz
linux,amd64,hasEx,0.104.2,hugo_extended_0.104.2_linux-amd64.tar.gz
linux,arm64,hasEx,0.104.2,hugo_extended_0.104.2_linux-arm64.tar.gz
darwin,amd64,noEx,0.104.1,hugo_0.104.1_darwin-universal.tar.gz
darwin,arm64,noEx,0.104.1,hugo_0.104.1_darwin-universal.tar.gz
dragonfly,amd64,noEx,0.104.1,hugo_0.104.1_dragonfly-amd64.tar.gz
freebsd,amd64,noEx,0.104.1,hugo_0.104.1_freebsd-amd64.tar.gz
linux,amd64,noEx,0.104.1,hugo_0.104.1_linux-amd64.tar.gz
linux,arm,noEx,0.104.1,hugo_0.104.1_linux-arm.tar.gz
linux,arm64,noEx,0.104.1,hugo_0.104.1_linux-arm64.tar.gz
netbsd,amd64,noEx,0.104.1,hugo_0.104.1_netbsd-amd64.tar.gz
openbsd,amd64,noEx,0.104.1,hugo_0.104.1_openbsd-amd64.tar.gz
darwin,amd64,hasEx,0.104.1,hugo_extended_0.104.1_darwin-universal.tar.gz
darwin,arm64,hasEx,0.104.1,hugo_extended_0.104.1_darwin-universal.tar.gz
linux,amd64,hasEx,0.104.1,hugo_extended_0.104.1_linux-amd64.tar.gz
linux,arm64,hasEx,0.104.1,hugo_extended_0.104.1_linux-arm64.tar.gz
darwin,amd64,noEx,0.104.0,hugo_0.104.0_darwin-universal.tar.gz
darwin,arm64,noEx,0.104.0,hugo_0.104.0_darwin-universal.tar.gz
dragonfly,amd64,noEx,0.104.0,hugo_0.104.0_dragonfly-amd64.tar.gz
freebsd,amd64,noEx,0.104.0,hugo_0.104.0_freebsd-amd64.tar.gz
linux,amd64,noEx,0.104.0,hugo_0.104.0_linux-amd64.tar.gz
linux,arm,noEx,0.104.0,hugo_0.104.0_linux-arm.tar.gz
linux,arm64,noEx,0.104.0,hugo_0.104.0_linux-arm64.tar.gz
netbsd,amd64,noEx,0.104.0,hugo_0.104.0_netbsd-amd64.tar.gz
openbsd,amd64,noEx,0.104.0,hugo_0.104.0_openbsd-amd64.tar.gz
darwin,amd64,hasEx,0.104.0,hugo_extended_0.104.0_darwin-universal.tar.gz
darwin,arm64,hasEx,0.104.0,hugo_extended_0.104.0_darwin-universal.tar.gz
linux,amd64,hasEx,0.104.0,hugo_extended_0.104.0_linux-amd64.tar.gz
linux,arm64,hasEx,0.104.0,hugo_extended_0.104.0_linux-arm64.tar.gz
darwin,amd64,noEx,0.103.1,hugo_0.103.1_darwin-universal.tar.gz
darwin,arm64,noEx,0.103.1,hugo_0.103.1_darwin-universal.tar.gz
dragonfly,amd64,noEx,0.103.1,hugo_0.103.1_dragonfly-amd64.tar.gz
freebsd,amd64,noEx,0.103.1,hugo_0.103.1_freebsd-amd64.tar.gz
linux,amd64,noEx,0.103.1,hugo_0.103.1_linux-amd64.tar.gz
linux,arm,noEx,0.103.1,hugo_0.103.1_linux-arm.tar.gz
linux,arm64,noEx,0.103.1,hugo_0.103.1_linux-arm64.tar.gz
netbsd,amd64,noEx,0.103.1,hugo_0.103.1_netbsd-amd64.tar.gz
openbsd,amd64,noEx,0.103.1,hugo_0.103.1_openbsd-amd64.tar.gz
darwin,amd64,hasEx,0.103.1,hugo_extended_0.103.1_darwin-universal.tar.gz
